Done. Total verifications : 9947, rules 33,control number:0, times: prep 0.07850193977355957, processing 6.905624866485596
Step 5, rules_count=33, act_base = 62.5, act_ratioconf = 1.2411265432098768
RESULT ACHIEVED. RatioConf = 1.2411265432098768, Base = 62.5, Rules count = 33

List of rules:
RULEID BASE1 BASE2 RatioConf DeltaConf Rule
     1    67   357    1.330    +0.112  Martial_Status(Married-civ-spouse) & Education(10th 11th 12th HS-grad) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
     2    76    73    1.361    +0.111  Martial_Status(Married-civ-spouse) & Education(10th 11th 12th HS-grad) & Occupation(Adm-clerical) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
     3    67   345    1.327    +0.114  Martial_Status(Married-civ-spouse) & Education(11th 12th HS-grad) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
     4    76    73    1.334    +0.107  Martial_Status(Married-civ-spouse) & Education(11th 12th HS-grad) & Occupation(Adm-clerical) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
     5   108   505    1.471    +0.131  Martial_Status(Married-civ-spouse) & Education(11th 12th HS-grad Some-college) & Age_b((30,40>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
     6   109   636    1.262    +0.107  Martial_Status(Married-civ-spouse) & Education(11th 12th HS-grad Some-college) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
     7    65   336    1.347    +0.125  Martial_Status(Married-civ-spouse) & Education(12th HS-grad) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
     8    76    70    1.365    +0.116  Martial_Status(Married-civ-spouse) & Education(12th HS-grad) & Occupation(Adm-clerical) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
     9   108   499    1.446    +0.129  Martial_Status(Married-civ-spouse) & Education(12th HS-grad Some-college) & Age_b((30,40>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    10   107   627    1.276    +0.115  Martial_Status(Married-civ-spouse) & Education(12th HS-grad Some-college) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    11   123   560    1.474    +0.140  Martial_Status(Married-civ-spouse) & Education(12th HS-grad Some-college Assoc-voc) & Age_b((30,40>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    12   121   709    1.301    +0.128  Martial_Status(Married-civ-spouse) & Education(12th HS-grad Some-college Assoc-voc) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    13    64   327    1.345    +0.124  Martial_Status(Married-civ-spouse) & Education(HS-grad) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    14    75    68    1.367    +0.118  Martial_Status(Married-civ-spouse) & Education(HS-grad) & Occupation(Adm-clerical) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    15   107   494    1.445    +0.130  Martial_Status(Married-civ-spouse) & Education(HS-grad Some-college) & Age_b((30,40>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    16   106   618    1.273    +0.114  Martial_Status(Married-civ-spouse) & Education(HS-grad Some-college) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    17   122   555    1.474    +0.142  Martial_Status(Married-civ-spouse) & Education(HS-grad Some-college Assoc-voc) & Age_b((30,40>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    18   120   700    1.298    +0.128  Martial_Status(Married-civ-spouse) & Education(HS-grad Some-college Assoc-voc) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    19    65    75    1.323    +0.121  Martial_Status(Married-civ-spouse) & Education(HS-grad Some-college Assoc-voc Assoc-acdm) & Age_b((30,40>) & Occupation(Adm-clerical) => Income(>50K) | --- : Sex(Female) x Sex(Male)
